GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24
ENSMUSG00000084505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000026383	115	146	87	40	99	25	226	53	96	3	211	119	108	21	24	92	66	415	29	150	18	898	87	331
ENSMUSG00000026384	6	6	13	103	10	19	35	1	4	2	25	134	63	0	81	90	57	46	2	13	14	75	88	142
ENSMUSG00000091876	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036975	17	13	14	28	36	45	15	13	13	15	68	28	46	6	24	31	43	42	12	22	38	70	44	184
ENSMUSG00000036962	0	0	0	0	0	0	0	0	4	0	0	4	0	0	2	0	0	0	0	9	0	0	7	3
ENSMUSG00000026387	0	0	0	0	0	0	0	0	0	11	0	8	5	0	0	0	0	1	1	1	6	0	11	22
ENSMUSG00000050777	138	146	155	5	227	13	154	88	58	40	65	46	52	53	0	363	17	500	113	84	73	66	159	48
ENSMUSG00000026385	1162	1527	1036	407	605	377	667	674	359	56	500	7060	940	427	270	616	680	1794	778	670	87	838	9257	2271
ENSMUSG00000026388	2	1	1	1	1	1	1	0	1	0	3	5	6	0	4	8	2	0	1	5	1	8	11	39
ENSMUSG00000026389	24	21	32	7	51	39	26	24	10	12	66	111	77	10	8	43	65	97	27	37	23	117	113	89
ENSMUSG00000036907	0	0	0	20	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ENSMUSG00000026390	4	3	2	0	0	1	0	1	19	0	2	2	1	1	0	0	0	0	3	32	0	0	14	10
ENSMUSG00000058665	0	0	0	1	0	0	0	0	0	1	0	1	4	0	2	0	0	1	0	0	0	0	12	12
ENSMUSG00000086664	0	0	0	14	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ENSMUSG00000003721	1036	2937	959	335	493	212	183	454	111	70	205	1310	713	260	248	555	399	385	393	118	171	463	1002	1625
ENSMUSG00000026339	19	8	20	44	103	14	22	4	19	1	24	52	85	3	35	141	14	30	11	14	9	38	59	87
ENSMUSG00000085857	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000050534	0	0	0	16	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	1	0	1
ENSMUSG00000001674	15	14	6	12	19	8	5	7	17	5	44	59	33	6	15	22	16	25	5	24	11	41	50	87
ENSMUSG00000036815	0	0	0	811	69	0	1	0	0	0	25	0	0	0	560	228	1	0	0	0	0	5	0	4
ENSMUSG00000073586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000026341	257	389	174	581	3292	248	394	88	188	9	527	1122	1321	18	481	3731	329	855	51	471	38	1563	2818	1865
ENSMUSG00000026342	118	135	110	88	1010	298	122	32	82	19	151	215	211	14	61	1048	513	245	70	81	48	262	334	678
